sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1775652577.695637,-1.203086376,-0.105344877,10.29267311,-0.044499233,0.044765696,-0.002931087,swipe_left
1,1775652577.7065337,-1.15400517,-0.090979666,10.30344677,-0.039169986,0.053026035,-0.00319755,swipe_left
1,1775652577.7190118,-1.218648672,-0.10175357,10.3261919,-0.049562022,0.057822358,-0.012790199,swipe_left
1,1775652577.7268949,-1.218648672,-0.190339029,10.26513958,-0.065549769,0.072211333,-0.028511487,swipe_left
1,1775652577.7347507,-1.138442874,-0.233434662,10.18732834,-0.067947932,0.098857582,-0.050627869,swipe_left
1,1775652577.743078,-1.194706678,-0.312443316,10.11789608,-0.064217456,0.117243491,-0.068747319,swipe_left
1,1775652577.7563164,-1.296460271,-0.202310041,10.28668785,-0.063151613,0.129500762,-0.086866774,swipe_left
1,1775652577.762362,-1.288080573,-0.117315881,10.38963795,-0.077807046,0.120707504,-0.114578865,swipe_left
1,1775652577.7722366,-1.267729759,-0.113724582,10.3261919,-0.087133229,0.115111791,-0.138560489,swipe_left
1,1775652577.7825885,-1.248576164,-0.132878199,10.26035118,-0.078606427,0.115644716,-0.157745793,swipe_left
1,1775652577.7948172,-1.171961784,-0.209492654,10.17056847,-0.048762634,0.134830013,-0.181460962,swipe_left
1,1775652577.8030014,-1.064222693,-0.227449164,10.08916569,-0.001598775,0.167071983,-0.213169977,swipe_left
1,1775652577.816399,-1.024718285,-0.307654917,10.04367638,0.040235836,0.208373666,-0.247543648,swipe_left
1,1775652577.8235118,-1.046266198,-0.239420176,10.03888798,0.07194487,0.258468598,-0.304300129,swipe_left
1,1775652577.8374984,-1.157596469,-0.096965171,10.03769016,0.079672284,0.310695261,-0.396496177,swipe_left
1,1775652577.8417954,-1.177947283,-0.064643443,9.922768593,0.081004597,0.340805531,-0.52146709,swipe_left
1,1775652577.8534212,-1.308431268,0.18435353,10.16338634,0.090597242,0.357592642,-0.639243484,swipe_left
1,1775652577.8628056,-1.489193439,0.74339962,10.36928749,0.078073502,0.350931078,-0.725577295,swipe_left
1,1775652577.872513,-1.740584612,1.33835876,10.41836834,0.042101074,0.316024512,-0.78952831,swipe_left
1,1775652577.8817165,-2.111685991,1.982398987,10.40280628,-0.016254211,0.274456352,-0.842287898,swipe_left
1,1775652577.892552,-2.402581453,2.67671752,10.41477776,-0.114312403,0.243813157,-0.876395106,swipe_left
1,1775652577.9022317,-2.533065319,3.484760523,10.51293945,-0.252073497,0.220897391,-0.816174567,swipe_left
1,1775652577.9134579,-2.697068214,4.396951199,10.87925243,-0.417013764,0.168937206,-0.610732019,swipe_left
1,1775652577.923577,-3.142389774,5.086481571,11.32457447,-0.568364441,0.054358348,-0.260067374,swipe_left
1,1775652577.9322515,-3.626018524,5.499481201,11.61307526,-0.664024532,-0.078872897,0.174266458,swipe_left
1,1775652577.944601,-4.122815132,5.996278286,11.94227791,-0.683209777,-0.237151608,0.692535996,swipe_left
1,1775652577.9539587,-4.648342609,6.624756336,12.35408115,-0.679212868,-0.475635529,1.313660026,swipe_left
1,1775652577.9637468,-5.214571476,6.789956093,12.31697083,-0.643773377,-0.735702932,1.99980092,swipe_left
1,1775652577.9740071,-5.657498837,6.873753071,12.12902546,-0.54544872,-0.974719763,2.733105421,swipe_left
1,1775652577.9836733,-6.305130005,7.481880188,12.18648624,-0.479632467,-1.1998806,3.501583576,swipe_left
1,1775652577.9947028,-6.530185223,7.688978672,11.76630402,-0.551310837,-1.430903554,4.259935856,swipe_left
1,1775652578.007654,-6.752845764,7.710526466,11.36407852,-0.72824192,-1.644339919,5.122208595,swipe_left
1,1775652578.0134175,-7.17422533,6.493074894,10.52730465,-0.886254191,-1.774906516,5.9586339,swipe_left
1,1775652578.0227845,-7.070077419,3.94205308,8.869319916,-0.816973984,-1.722679973,6.653301716,swipe_left
1,1775652578.033268,-6.223727226,0.423773706,7.400477409,-0.400226623,-1.518569708,7.136131763,swipe_left
1,1775652578.042417,-4.729745388,-3.019088268,6.892906666,0.309895873,-1.188955665,7.326385975,swipe_left
1,1775652578.056374,-3.594893932,-4.768052578,7.450755596,1.002698302,-0.754355311,7.245647907,swipe_left
1,1775652578.062142,-3.151966572,-5.134365559,8.40723896,1.39413166,-0.346401215,6.89471674,swipe_left
1,1775652578.0724974,-2.754528999,-5.463568211,9.26556015,1.483929634,-0.083935678,6.27785635,swipe_left
1,1775652578.0830832,-2.448071241,-5.899312973,9.931148529,1.361356854,0.074343033,5.508578777,swipe_left
1,1775652578.0924885,-2.104503393,-5.870582581,10.40879154,1.08556819,0.133231238,4.681212902,swipe_left
1,1775652578.102438,-2.018311977,-5.442020416,10.7188406,0.729840755,0.101255737,3.864505291,swipe_left
1,1775652578.1123364,-1.684320927,-5.093664169,10.69130802,0.385304749,0.034107197,3.127470255,swipe_left
1,1775652578.122147,-1.175553083,-4.912901878,10.34414864,0.116977029,-0.025313934,2.534324646,swipe_left
1,1775652578.132885,-0.870292306,-4.806359768,9.979032516,-0.065283306,-0.057289433,2.091730356,swipe_left
1,1775652578.1424546,-0.537498295,-4.79917717,9.692925453,-0.150284842,-0.019451762,1.718949437,swipe_left
1,1775652578.1526005,-0.193930343,-4.890156746,9.504981041,-0.129500762,0.091130167,1.403990865,swipe_left
1,1775652578.164411,0.126892686,-4.932055473,9.58638382,-0.038903523,0.241148531,1.150851488,swipe_left
1,1775652578.172022,0.199915841,-4.826710701,9.730035782,0.065549769,0.403957129,0.928888202,swipe_left
1,1775652578.182712,0.20590134,-4.677073002,9.908403397,0.157479316,0.568630934,0.709056675,swipe_left
1,1775652578.193368,0.106541976,-4.419696331,10.19091988,0.219032168,0.717583418,0.491623253,swipe_left
1,1775652578.2030375,-0.158017308,-4.158728123,10.64581776,0.235552832,0.809513032,0.268594176,swipe_left
1,1775652578.21316,-0.550666392,-3.822343111,11.19408989,0.191053599,0.834560513,0.023448698,swipe_left
1,1775652578.2247417,-0.955286503,-3.442862034,11.63342571,0.103653908,0.787929535,-0.235552832,swipe_left
1,1775652578.232685,-1.276109457,-3.055001259,11.91474438,0.008793262,0.690670729,-0.488958627,swipe_left
1,1775652578.2457619,-1.393425345,-2.63721323,12.132617,-0.090597242,0.55477488,-0.705859125,swipe_left
1,1775652578.2575564,-1.364694953,-2.195482969,12.16613579,-0.18492496,0.398094952,-0.855078101,swipe_left
1,1775652578.263221,-1.304839969,-1.807622313,11.95903778,-0.248609498,0.262998462,-0.947807014,swipe_left
1,1775652578.2761436,-1.211466074,-1.476025343,11.59033012,-0.248076573,0.178263396,-1.008027554,swipe_left
1,1775652578.2828403,-1.122880578,-1.246181965,11.14860058,-0.173999995,0.147087291,-1.055990815,swipe_left
1,1775652578.2934096,-1.089361787,-1.010353088,10.83974838,-0.056223582,0.158278719,-1.088499188,swipe_left
