sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1775668597.3077424,0.988805294,0.280121595,10.53568459,-0.054358348,0.043966308,0.034640122,swipe_right
1,1775668597.3206372,1.000776291,0.289698392,10.52012253,-0.05249311,0.045298621,0.033840735,swipe_right
1,1775668597.3319366,0.979228497,0.320823014,10.46984386,-0.047430322,0.052226644,0.036238898,swipe_right
1,1775668597.3375487,0.958877802,0.330399841,10.50096893,-0.041301683,0.05595712,0.040768761,swipe_right
1,1775668597.3516183,0.937329948,0.341173738,10.52491093,-0.031442571,0.058621746,0.047163859,swipe_right
1,1775668597.3586032,0.881066203,0.403422982,10.58237171,-0.025047474,0.056490045,0.057822358,swipe_right
1,1775668597.3689167,0.830788016,0.453701228,10.62905884,-0.025580399,0.048229709,0.071678407,swipe_right
1,1775668597.3781486,0.798466265,0.535104096,10.63743782,-0.025580399,0.041568145,0.083402753,swipe_right
1,1775668597.3882985,0.754173517,0.608127236,10.60990524,-0.028777948,0.03650536,0.098324656,swipe_right
1,1775668597.3986206,0.661996782,0.652419984,10.59434223,-0.03757121,0.027179174,0.122039817,swipe_right
1,1775668597.408456,0.616506934,0.70509243,10.62905884,-0.045298621,0.013323124,0.154015318,swipe_right
1,1775668597.4189663,0.59376204,0.797269166,10.60152531,-0.057022974,-0.005862175,0.199313939,swipe_right
1,1775668597.4288363,0.575805485,0.719457626,10.46745014,-0.072477795,-0.025846859,0.264064312,swipe_right
1,1775668597.4382854,0.756567717,0.505176544,10.29267311,-0.075408876,-0.029577335,0.332811654,swipe_right
1,1775668597.448737,0.763750315,0.306457818,10.17176628,-0.07301072,-0.000532925,0.404756516,swipe_right
1,1775668597.4575832,0.811634362,0.023942016,9.977835655,-0.073810108,0.035972435,0.45911485,swipe_right
1,1775668597.4678197,0.751779318,-0.375889659,9.883264542,-0.102055125,0.07087902,0.51107502,swipe_right
1,1775668597.4806275,0.805648863,-0.869095206,10.14423275,-0.153482378,0.107650839,0.564900458,swipe_right
1,1775668597.4878247,1.04147768,-1.67115283,10.1693716,-0.188921899,0.145488501,0.61286366,swipe_right
1,1775668597.5012085,1.349132657,-2.737769604,10.06642151,-0.195317,0.191053599,0.685075045,swipe_right
1,1775668597.5085275,1.44849205,-3.960009575,10.12747288,-0.197715163,0.269660026,0.725310862,swipe_right
1,1775668597.5182514,1.295263171,-5.298368454,10.26154804,-0.228358343,0.431402773,0.661359906,swipe_right
1,1775668597.5279658,1.408987641,-6.38892746,10.38963795,-0.285381317,0.595010698,0.479366004,swipe_right
1,1775668597.5432549,1.429338455,-7.54891777,10.40998936,-0.36771822,0.695467055,0.247810096,swipe_right
1,1775668597.5539234,1.533486247,-8.916007042,10.71764374,-0.44978866,0.686940312,0.023448698,swipe_right
1,1775668597.558576,1.921346903,-10.58117485,11.32577133,-0.44152835,0.630183756,-0.252073497,swipe_right
1,1775668597.568251,2.128445387,-12.35886955,11.95065784,-0.26592955,0.581421137,-0.648836136,swipe_right
1,1775668597.5790212,2.159569979,-13.90193176,12.43787766,0.051160797,0.539053619,-1.184692144,swipe_right
1,1775668597.587825,1.71065712,-14.337677,12.72398472,0.388235807,0.46124655,-1.799954057,swipe_right
1,1775668597.5976906,1.085770488,-14.25387955,12.46541119,0.610199094,0.353862166,-2.52020216,swipe_right
1,1775668597.6080077,0.286107093,-13.42907715,11.89080238,0.723978519,0.222496167,-3.281751871,swipe_right
1,1775668597.6178951,-0.493205547,-12.45104599,11.20725822,0.766079664,0.019451762,-4.086734772,swipe_right
1,1775668597.6279871,-1.170764685,-11.47900009,10.26633644,0.815375149,-0.14282389,-4.873065948,swipe_right
1,1775668597.639953,-2.066195965,-9.50976944,9.482235909,0.848416567,-0.204376727,-5.575994015,swipe_right
1,1775668597.6484294,-3.623624325,-6.777985096,9.287108421,0.835626304,-0.261666149,-6.138229847,swipe_right
