sample_id,timestamp,ax,ay,az,gx,gy,gz,label
1,1775554221.7399964,-3.072957993,1.595735431,9.145850182,0.124437973,-0.151617154,-0.456983149,idle
1,1775554221.7633476,-3.065775394,1.642422318,9.160215378,0.166006133,-0.102321595,-0.454318523,idle
1,1775554221.7643533,-2.987963676,1.668758631,9.107542992,0.212104142,-0.045831546,-0.453252673,idle
1,1775554221.7765079,-2.876633406,1.684320927,9.042900085,0.256869823,0.012523737,-0.44046247,idle
1,1775554221.7785313,-2.788047791,1.704671621,8.926780701,0.309096456,0.072211333,-0.423142403,idle
1,1775554221.7893882,-2.681505919,1.745373011,8.724471092,0.363454819,0.146021441,-0.401292503,idle
1,1775554221.799589,-2.652775526,1.795651317,8.578424454,0.418346077,0.240882084,-0.387169987,idle
1,1775554221.8103871,-2.668337822,1.824381709,8.470685959,0.478300154,0.343736589,-0.37704441,idle
1,1775554221.8286288,-2.722207308,1.906981707,8.489839554,0.544116378,0.44872281,-0.373846859,idle
1,1775554221.8300483,-2.796427488,2.074575663,8.508993149,0.598208308,0.544116378,-0.36878407,idle
1,1775554221.8413327,-2.834734917,2.254140854,8.440757751,0.649635553,0.635513008,-0.353862166,idle
1,1775554221.868886,-2.922123194,2.394201756,8.573636055,0.696799397,0.721047461,-0.318422645,idle
1,1775554221.868886,-3.016694069,2.497152328,8.933963776,0.703993857,0.79166007,-0.25660339,idle
1,1775554221.8700395,-3.204638958,2.653972626,9.066842079,0.673350692,0.846551299,-0.189987749,idle
1,1775554221.878965,-3.463212729,2.943670988,8.965087891,0.639243484,0.892116368,-0.156946406,idle
1,1775554221.8901024,-3.600879431,3.173514366,8.693346024,0.636845291,0.944875956,-0.160410419,idle
1,1775554221.9065897,-3.525461912,3.359065056,8.317456245,0.684275687,1.015488505,-0.16467382,idle
1,1775554221.9104252,-3.403357744,3.452438831,8.208520889,0.765013814,1.105019927,-0.127369061,idle
1,1775554221.9317465,-3.295618534,3.581725836,8.070854187,0.833494663,1.198281765,-0.040502299,idle
1,1775554221.9317465,-3.378218651,3.787626982,7.99423933,0.884388983,1.291543603,0.071678407,idle
1,1775554221.9451015,-3.649960518,4.05577755,8.081627846,0.900909662,1.373347521,0.180395097,idle
1,1775554221.9697654,-3.986345768,4.382586002,8.215703011,0.863338411,1.43356812,0.277120978,idle
1,1775554221.9707682,-4.19464159,4.629189014,8.256404877,0.788995445,1.473803997,0.342670739,idle
1,1775554221.9714735,-4.404133797,4.841075897,8.204929352,0.716251135,1.505779505,0.372248113,idle
1,1775554221.9809413,-4.599261284,4.917690277,8.141483307,0.656830013,1.544150114,0.385304749,idle
1,1775554222.0421662,-4.775235176,4.898536682,8.317456245,0.587016821,1.584119439,0.400226623,idle
1,1775554222.0432246,-4.967968464,4.890156746,8.500613213,0.480698317,1.592646241,0.426073521,idle
1,1775554222.063415,-5.23851347,4.915296078,8.512583733,0.356260329,1.567065835,0.446324646,idle
1,1775554222.0644193,-5.61081171,5.033809185,8.485051155,0.223029092,1.523365974,0.43220216,idle
1,1775554222.0656517,-5.799953461,5.13556242,8.322244644,0.094860643,1.489258885,0.394098014,idle
1,1775554222.070123,-5.787982464,5.214571476,8.197746277,0.0063951,1.44502604,0.366652369,idle
1,1775554222.070123,-5.813121796,5.391742229,8.105569839,-0.077274114,1.409852982,0.360523731,idle
1,1775554222.070123,-5.841852188,5.544970989,8.076839447,-0.164407358,1.390401244,0.37704441,idle
1,1775554222.070123,-5.84065485,5.555745125,8.025363922,-0.247810096,1.370416522,0.421277195,idle
1,1775554222.0774992,-5.771223068,5.500678539,8.119935036,-0.32721591,1.347234368,0.496952504,idle
1,1775554222.0943196,-5.767632008,5.305551052,8.341399193,-0.442594171,1.299803972,0.600073516,idle
1,1775554222.0980847,-5.655104637,5.237316132,8.339004517,-0.593678415,1.241182208,0.699464023,idle
1,1775554222.1080453,-5.58088398,5.141548157,8.207323074,-0.765546679,1.191087365,0.793258786,idle
1,1775554222.116205,-5.592854977,5.035006046,7.99064827,-0.919562042,1.151384354,0.85188055,idle
1,1775554222.1323743,-5.586869717,4.881777287,7.791929245,-1.056790233,1.129534483,0.890517592,idle
1,1775554222.137943,-5.549759388,4.662707806,7.485471725,-1.149785519,1.119142413,0.910768747,idle
1,1775554222.1544118,-5.566518784,4.595670223,7.269993305,-1.200946331,1.121540666,0.921160758,idle
1,1775554222.164182,-5.626373768,4.598064423,7.195773125,-1.232921839,1.127402782,0.916364491,idle
1,1775554222.1676636,-5.695806026,4.487931252,7.192182064,-1.244113326,1.130600333,0.8830567,idle
1,1775554222.1776006,-5.635950565,4.419696331,7.151480675,-1.256903529,1.143923402,0.840156198,idle
1,1775554222.196148,-5.6491189,4.288015366,6.964732647,-1.277421117,1.15511477,0.801252663,idle
1,1775554222.1995275,-5.669469833,4.20062685,6.813898087,-1.294741154,1.15511477,0.743696809,idle
1,1775554222.2101676,-5.639542103,4.125209332,6.596025467,-1.316058159,1.182027578,0.687206745,idle
1,1775554222.2217786,-5.524620533,4.08809948,6.518214226,-1.358425736,1.230523705,0.658961713,idle
1,1775554222.2375493,-5.480327606,4.103661537,6.588842869,-1.408254147,1.267828465,0.675748825,idle
1,1775554222.243573,-5.567716122,4.028244495,6.635529995,-1.464211226,1.304866791,0.722912669,idle
1,1775554222.2524226,-5.735310078,3.928884983,6.685808182,-1.501249552,1.347500801,0.765546679,idle
1,1775554222.275282,-5.94719696,3.647566319,6.610390663,-1.499117851,1.394398093,0.782866776,idle
1,1775554222.275282,-6.326677799,3.424905539,6.489483833,-1.462612629,1.422376752,0.760483861,idle
1,1775554222.275282,-6.787561893,3.326743364,6.514622688,-1.412517548,1.430637121,0.692003012,idle
1,1775554222.2888534,-7.237671852,3.321954966,6.525396824,-1.35469532,1.393865228,0.579555929,idle
1,1775554222.2983098,-7.554903507,3.45603013,6.470330238,-1.329114795,1.30166924,0.449255735,idle
1,1775554222.3116589,-7.645883083,3.41772294,6.332663536,-1.320588112,1.188156128,0.324018389,idle
1,1775554222.3177986,-7.684190273,3.391386747,6.101623058,-1.307264924,1.049329281,0.225693718,idle
1,1775554222.3275673,-7.5836339,3.372233152,5.862202644,-1.317923427,0.875329256,0.182526797,idle
1,1775554222.3410187,-7.280767441,3.026270866,5.601234913,-1.34217155,0.722379804,0.188921899,idle
1,1775554222.3528883,-7.082048416,2.596511841,5.24449873,-1.335776329,0.620058179,0.217966303,idle
1,1775554222.357965,-6.987477779,2.349909067,5.025429249,-1.299803972,0.558238924,0.240882084,idle
1,1775554222.3810437,-6.892906666,2.33913517,4.963180065,-1.253439546,0.505212903,0.279519141,idle
1,1775554222.382069,-6.9084692,2.434903145,4.898536682,-1.238517523,0.463378251,0.320554376,idle
1,1775554222.3891716,-6.971915245,2.536656618,4.808753967,-1.276355267,0.456716686,0.356260329,idle
